Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_113,VPWR,li1,57.7300,51.6800,1.800000
FILLER_14_109,VPWR,li1,56.3500,51.6800,1.800000
FILLER_14_97,VPWR,li1,52.9000,51.6800,1.800000
FILLER_14_85,VPWR,li1,47.3800,51.6800,1.800000
FILLER_14_81,VPWR,li1,43.4700,51.6800,1.800000
FILLER_14_69,VPWR,li1,40.0200,51.6800,1.800000
FILLER_14_57,VPWR,li1,34.5000,51.6800,1.800000
FILLER_14_53,VPWR,li1,30.5900,51.6800,1.800000
FILLER_14_41,VPWR,li1,27.1400,51.6800,1.800000
FILLER_14_29,VPWR,li1,21.6200,51.6800,1.800000
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.800000
FILLER_14_15,VPWR,li1,15.1800,51.6800,1.800000
FILLER_14_3,VPWR,li1,9.6600,51.6800,1.800000
FILLER_13_113,VPWR,li1,57.7300,46.2400,1.800000
FILLER_13_111,VPWR,li1,56.8100,46.2400,1.800000
FILLER_13_105,VPWR,li1,55.2000,46.2400,1.800000
FILLER_13_93,VPWR,li1,51.0600,46.2400,1.800000
FILLER_13_81,VPWR,li1,45.5400,46.2400,1.800000
FILLER_13_69,VPWR,li1,40.0200,46.2400,1.800000
FILLER_13_57,VPWR,li1,34.5000,46.2400,1.800000
FILLER_13_55,VPWR,li1,31.0500,46.2400,1.800000
FILLER_13_51,VPWR,li1,29.9000,46.2400,1.800000
FILLER_13_39,VPWR,li1,26.2200,46.2400,1.800000
FILLER_13_27,VPWR,li1,20.7000,46.2400,1.800000
FILLER_13_15,VPWR,li1,15.1800,46.2400,1.800000
FILLER_13_3,VPWR,li1,9.6600,46.2400,1.800000
FILLER_12_113,VPWR,li1,57.7300,46.2400,1.800000
FILLER_12_109,VPWR,li1,56.5800,46.2400,1.800000
FILLER_12_97,VPWR,li1,52.9000,46.2400,1.800000
FILLER_12_85,VPWR,li1,47.3800,46.2400,1.800000
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.800000
FILLER_12_77,VPWR,li1,42.3200,46.2400,1.800000
FILLER_12_65,VPWR,li1,38.1800,46.2400,1.800000
FILLER_12_53,VPWR,li1,32.6600,46.2400,1.800000
FILLER_12_41,VPWR,li1,27.1400,46.2400,1.800000
FILLER_12_29,VPWR,li1,21.6200,46.2400,1.800000
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.800000
FILLER_12_15,VPWR,li1,15.1800,46.2400,1.800000
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.800000
FILLER_11_113,VPWR,li1,57.7300,40.8000,1.800000
FILLER_11_111,VPWR,li1,56.8100,40.8000,1.800000
FILLER_11_105,VPWR,li1,55.2000,40.8000,1.800000
FILLER_11_93,VPWR,li1,51.0600,40.8000,1.800000
FILLER_11_81,VPWR,li1,45.5400,40.8000,1.800000
