Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_137,VPWR,li1,69.0000,73.4400,1.799998
FILLER_23_125,VPWR,li1,65.7800,73.4400,1.799998
FILLER_23_113,VPWR,li1,60.2600,73.4400,1.799998
FILLER_23_105,VPWR,li1,54.5100,73.4400,1.799998
FILLER_23_97,VPWR,li1,51.9800,73.4400,1.799998
FILLER_23_85,VPWR,li1,47.3800,73.4400,1.799998
FILLER_23_81,VPWR,li1,43.4700,73.4400,1.799998
FILLER_23_69,VPWR,li1,40.0200,73.4400,1.799998
FILLER_23_57,VPWR,li1,34.5000,73.4400,1.799998
FILLER_23_54,VPWR,li1,30.8200,73.4400,1.799998
FILLER_23_42,VPWR,li1,27.6000,73.4400,1.799999
FILLER_23_37,VPWR,li1,22.7700,73.4400,1.799999
FILLER_23_29,VPWR,li1,20.7000,73.4400,1.799999
FILLER_23_27,VPWR,li1,18.1700,73.4400,1.799999
FILLER_23_15,VPWR,li1,15.1800,73.4400,1.799999
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799999
FILLER_22_138,VPWR,li1,69.2300,73.4400,1.799998
FILLER_22_126,VPWR,li1,66.2400,73.4400,1.799998
FILLER_22_114,VPWR,li1,60.7200,73.4400,1.799998
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.799998
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799998
FILLER_22_75,VPWR,li1,41.8600,73.4400,1.799998
FILLER_22_67,VPWR,li1,36.5700,73.4400,1.799998
FILLER_22_56,VPWR,li1,33.1200,73.4400,1.799998
FILLER_22_41,VPWR,li1,27.1400,73.4400,1.799999
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.799999
FILLER_22_26,VPWR,li1,17.9400,73.4400,1.799999
FILLER_22_3,VPWR,li1,8.7400,73.4400,1.799999
FILLER_21_133,VPWR,li1,67.1600,68.0000,1.799925
FILLER_21_125,VPWR,li1,64.8600,68.0000,1.799925
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799926
FILLER_21_110,VPWR,li1,56.5800,68.0000,1.799927
FILLER_21_85,VPWR,li1,44.8500,68.0000,1.799939
FILLER_21_23,VPWR,li1,16.3300,68.0000,1.799972
FILLER_20_138,VPWR,li1,69.2300,68.0000,1.799925
FILLER_20_134,VPWR,li1,68.0800,68.0000,1.799925
FILLER_20_111,VPWR,li1,57.0400,68.0000,1.799927
FILLER_20_85,VPWR,li1,45.0800,68.0000,1.799939
FILLER_20_57,VPWR,li1,31.9700,68.0000,1.799957
FILLER_20_45,VPWR,li1,26.9100,68.0000,1.799962
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799973
FILLER_20_20,VPWR,li1,15.4100,68.0000,1.799972
FILLER_20_3,VPWR,li1,9.6600,68.0000,1.799971
FILLER_19_137,VPWR,li1,69.0000,62.5600,1.799996
FILLER_19_128,VPWR,li1,64.6300,62.5600,1.799996
FILLER_19_113,VPWR,li1,58.8800,62.5600,1.799996
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799996
FILLER_19_97,VPWR,li1,52.9000,62.5600,1.799996
FILLER_19_88,VPWR,li1,46.6900,62.5600,1.799997
FILLER_19_76,VPWR,li1,43.2400,62.5600,1.799997
FILLER_19_69,VPWR,li1,37.7200,62.5600,1.799997
FILLER_19_62,VPWR,li1,34.5000,62.5600,1.799997
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799997
FILLER_19_47,VPWR,li1,28.9800,62.5600,1.799997
FILLER_19_35,VPWR,li1,24.3800,62.5600,1.799998
FILLER_19_24,VPWR,li1,18.4000,62.5600,1.799998
FILLER_18_133,VPWR,li1,68.0800,62.5600,1.799996
FILLER_18_121,VPWR,li1,63.9400,62.5600,1.799996
FILLER_18_109,VPWR,li1,58.4200,62.5600,1.799996
FILLER_18_97,VPWR,li1,52.9000,62.5600,1.799996
FILLER_18_85,VPWR,li1,47.3800,62.5600,1.799997
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799997
FILLER_18_79,VPWR,li1,42.7800,62.5600,1.799997
FILLER_18_67,VPWR,li1,39.1000,62.5600,1.799997
FILLER_18_63,VPWR,li1,34.7300,62.5600,1.799997
FILLER_18_51,VPWR,li1,31.7400,62.5600,1.799997
FILLER_18_39,VPWR,li1,26.2200,62.5600,1.799998
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799998
FILLER_18_3,VPWR,li1,8.2800,62.5600,1.799998
FILLER_17_133,VPWR,li1,67.1600,57.1200,1.799988
FILLER_17_125,VPWR,li1,64.8600,57.1200,1.799988
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799988
FILLER_17_100,VPWR,li1,54.2800,57.1200,1.799988
FILLER_17_88,VPWR,li1,48.7600,57.1200,1.799988
FILLER_17_76,VPWR,li1,43.2400,57.1200,1.799988
FILLER_17_69,VPWR,li1,37.4900,57.1200,1.799989
FILLER_17_57,VPWR,li1,34.5000,57.1200,1.799989
FILLER_17_39,VPWR,li1,23.6900,57.1200,1.799992
FILLER_17_33,VPWR,li1,22.0800,57.1200,1.799993
FILLER_17_7,VPWR,li1,9.2000,57.1200,1.799992
FILLER_16_125,VPWR,li1,63.4800,57.1200,1.799988
FILLER_16_119,VPWR,li1,60.4900,57.1200,1.799988
FILLER_16_115,VPWR,li1,59.3400,57.1200,1.799988
FILLER_16_106,VPWR,li1,55.6600,57.1200,1.799988
